TIPO_MODULO;ANO_MES_REF;ACAO;ID;ATRIBUTO;NOVO_VALOR
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;INSUFICIENCIA SALDO PROVENTOS;50,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;HONORARIOS PROVENTOS;1.800,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;FALTA DESCONTOS;120,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;ATRASOS DESCONTOS;75,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;ADIANTAMENTOS DESCONTOS;1.000,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;CONTRIBUICAO SINDICAL DESCONTOS;25,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE ALIMENTACAO DESCONTOS;300,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE REFEICAO DESCONTOS;250,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE TRANSPORTE DESCONTOS;220,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE COMBUSTIVEL DESCONTOS;180,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PENSAO ALIMENTICIA DESCONTOS;900,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;CONVENIO MEDICO DESCONTOS;450,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;EMPRESTIMO CONSIGNADO DESCONTOS;800,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;INSS DESCONTOS;750,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;IRRF DESCONTOS;500,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;2 VIA CARTAO DESCONTOS;10,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;MULTA DIVERSAS DESCONTOS;90,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;JUDICIAL DESCONTOS;350,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;INSUFICIENCIA SALDO DESCONTOS;60,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;ISSQN DESCONTOS;45,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;BASE CALCULO INSS ENCARGOS PATRONAIS GRUPO A;5.000,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;BASE CALCULO FGTS ENCARGOS PATRONAIS GRUPO A;5.000,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;BASE CALCULO PIS ENCARGOS PATRONAIS GRUPO A;5.000,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PIS ENCARGOS PATRONAIS GRUPO A;50,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SESI SESC ENCARGOS PATRONAIS GRUPO A;100,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SENAI SENAC ENCARGOS PATRONAIS GRUPO A;100,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;INCRA ENCARGOS PATRONAIS GRUPO A;20,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SALARIO EDUCACAO ENCARGOS PATRONAIS GRUPO A;85,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SAT ENCARGOS PATRONAIS GRUPO A;75,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SEBRAE ENCARGOS PATRONAIS GRUPO A;55,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE ALIMENTACAO BENEFICIOS;300,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE REFEICAO BENEFICIOS;250,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE TRANSPORTE BENEFICIOS;220,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;VALE COMBUSTIVEL BENEFICIOS;180,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;AUXILIO CRECHE BENEFICIOS;400,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PLANO DE SAUDE BENEFICIOS;450,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;AJUDA DE CUSTO MOBILIDADE BENEFICIOS;300,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;SEGURO DE VIDA BENEFICIOS;180,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;PREVIDENCIA PRIVADA BENEFICIOS;650,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;FERIAS RESCISAO;1.100,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;FERIAS E ABONO RESCISAO;1.450,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;13 SALARIO RESCISAO;1.300,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;AVISO PREVIO RESCISAO;1.800,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;AVISO PREVIO INDENIZADO RESCISAO;2.000,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;13 SALARIO INDENIZADO RESCISAO;1.400,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;MULTA FGTS RESCISAO;800,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;REMUNERACAO LIQUIDA;5.300,00
FOLHA DE PAGAMENTO;2025-05;ALTERACAO;3026;DESPESA TOTAL;9.870,00
